name,url,price,rating,review
ASTRID Women's 17'' Black and White Textured Laptop Bag With Accessory Pouch,https://www.amazon.in/ASTRID-Black-Textured-Laptop-Accessory/dp/B09Z2G37YY/ref=sr_1_263?keywords=bags&qid=1685117416&sr=8-263,₹999,4.1 out of 5 stars,113
"Skybags New Neon 13 30 L Backpack (Blue), Free Size (Bpnne13Hblu)",https://www.amazon.in/SKYBAGS-New-Neon-Backpack-Blue/dp/B0819KVFTR/ref=sr_1_264?keywords=bags&qid=1685117416&sr=8-264,"₹1,328",4.0 out of 5 stars,468
"SNDIA 2-Set Multipurpose Transparent Travel Pouch Makeup Toiletry Kit Bag Cosmetic Pouch for Women Makeup Organizer Bag Plastic Box Vanity, Shaving Kit Toiletry Bag for Men (23.5x15.5x10 cm)",https://www.amazon.in/SNDIA-Transparent-Storage-Cosmetic-Toiletry/dp/B095PFZLJR/ref=sr_1_265?keywords=bags&qid=1685117416&sr=8-265,₹398,4.2 out of 5 stars,676
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 46cm 26 Litre Dark Grey College Bag,https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7DTWLF/ref=sr_1_266?keywords=bags&qid=1685117416&sr=8-266,"₹1,328",4.2 out of 5 stars,"1,390"
MOKOBARA The Transit Backpack Laptop Bag for Men and Women,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTM1NDgxOTM0NTgxNTk5OjE2ODUxMTc0MTY6c3BfbXRmOjIwMTE1MTA0OTA3ODk4OjowOjo&url=%2FMokobara-Transit-Backpack-Laptop-Sunray%2Fdp%2FB09V7R98XC%2Fref%3Dsr_1_267_sspa%3Fkeywords%3Dbags%26qid%3D1685117416%26sr%3D8-267-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹5,999",4.5 out of 5 stars,592
"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozOTM1NDgxOTM0NTgxNTk5OjE2ODUxMTc0MTY6c3BfbXRmOjIwMTEwMTgxNTExMTk4OjowOjo&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Modern-Love%2Fdp%2FB08T1769X9%2Fref%3Dsr_1_268_sspa%3Fkeywords%3Dbags%26qid%3D1685117416%26sr%3D8-268-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"₹4,499",4.3 out of 5 stars,168
American Tourister Spin 49 cms Black Laptop Backpack (FS0 (0) 09 002),https://www.amazon.in/American-Tourister-FS0-09-002/dp/B07S121FYQ/ref=sr_1_269?keywords=bags&qid=1685117416&sr=8-269,"₹1,660",4.2 out of 5 stars,"1,216"
"HARISSONS Bags Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Black, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder",https://www.amazon.in/Harissons-Vervo-Laptop-Backpack-Built/dp/B07M5P5LW3/ref=sr_1_270?keywords=bags&qid=1685117416&sr=8-270,"₹2,960",4.3 out of 5 stars,"1,977"
Priority Polyester 29 Cms Travel Duffle(25637_Aqua),https://www.amazon.in/Priority-ARC-Blue-Duffle-Luggage/dp/B08FCQ4YTG/ref=sr_1_271?keywords=bags&qid=1685117416&sr=8-271,₹799,4.0 out of 5 stars,"7,835"
"House of Quirk Clear Toiletry Bag, Wash Make Up Bag PVC Waterproof Zippered Cosmetic Bag, Portable Carry Pouch for Women Men (Set of 3 Bag Black)",https://www.amazon.in/House-Quirk-Toiletry-Waterproof-Zippered/dp/B09G364GX5/ref=sr_1_272?keywords=bags&qid=1685117416&sr=8-272,₹475,4.4 out of 5 stars,517
Cosmus Vogue Casual Laptop Backpack with USB Charger Port 44cm 26 Litre Grey College Bag,https://www.amazon.in/Cosmus-Casual-Backpack-Charger-College/dp/B08D7D21FV/ref=sr_1_273?keywords=bags&qid=1685117416&sr=8-273,"₹1,358",4.2 out of 5 stars,"1,390"
Lavie Women's Pamukkale Satchel Bag | Ladies Purse Handbag,https://www.amazon.in/Lavie-Pamukkale-Womens-Satchel-Piece/dp/B08NQRPQHJ/ref=sr_1_274?keywords=bags&qid=1685117416&sr=8-274,"₹1,199",4.0 out of 5 stars,"1,687"
Tabelito® VOLT Casual waterproof Laptop Backpack/Office bag/School bag/College bag/Business bag/Unisex bag Travel bag Compatible with 15.6 inch Laptop 30L Bag for Men and Women - GREY,https://www.amazon.in/Tabelito%C2%AE-VOLT-waterproof-Backpack-Compatible/dp/B0BML7Q3J1/ref=sr_1_275?keywords=bags&qid=1685117416&sr=8-275,₹599,4.8 out of 5 stars,176
"Half Moon StyleX Unisex School Bags for Boys Girls Laptop Bag/Backpack for Men Women College Bag with Internal Organiser, Never Fading Print & 15.6 inch Laptop Compartment",https://www.amazon.in/Half-Moon-Backpack-Organiser-Compartment/dp/B0C1V79PB6/ref=sr_1_276?keywords=bags&qid=1685117416&sr=8-276,₹499,4.0 out of 5 stars,1
